"resource","season","zone","imports","exports"
"CO2","wint","energyIsland",0,0.37
"CO2","shoulder","energyIsland",0,0.19
"CO2","wint","factory",0,44.4
"CO2","shoulder","factory",0,22.2
"CO2","wint","factory_assembly",0,41.44
"CO2","shoulder","factory_assembly",0,20.72
"CO2","shoulder","hospital",0,48.91
"CO2","wint","reserved",0,17.76
"CO2","shoulder","reserved",0,8.88
"CO2","wint","residential",0,97.83
"elec","wint","energyIsland",19.73,0
"elec","sum","energyIsland",562.24,0
"elec","shoulder","energyIsland",19.73,0
"gasNatural","wint","factory_assembly",71.75,0
"gasNatural","shoulder","factory_assembly",35.87,0
"wastewater","wint","factory",0,4.63
"wastewater","sum","factory",0,4.63
"wastewater","shoulder","factory",0,4.63
"wastewater","wint","northDistrict",0,4.63
"wastewater","sum","northDistrict",0,4.63
"wastewater","shoulder","northDistrict",0,4.63
"wastewater","wint","residential",0,4.63
"wastewater","sum","residential",0,4.63
"wastewater","shoulder","residential",0,4.63
"waterNonPotable","wint","factory",2.31,0
"waterNonPotable","sum","factory",2.31,0
"waterNonPotable","shoulder","factory",2.31,0
"waterNonPotable","wint","northDistrict",2.31,0
"waterNonPotable","sum","northDistrict",2.31,0
"waterNonPotable","shoulder","northDistrict",2.31,0
"waterNonPotable","wint","residential",2.31,0
"waterNonPotable","sum","residential",2.31,0
"waterNonPotable","shoulder","residential",2.31,0
"waterPotable","wint","residential",20.11,0
"waterPotable","sum","residential",20.11,0
"waterPotable","shoulder","residential",20.11,0
