"resource","sector"
"algae","other"
"ash","waste"
"biodiesel","energy"
"biogas","energy"
"biomass","other"
"biooil","energy"
"butanol","energy"
"CO2","other"
"coal","energy"
"cooling","energy"
"diesel","energy"
"digestate","waste"
"DME","energy"
"effluent","water"
"electricity","energy"
"ethanol","energy"
"fertilizer","other"
"food waste","waste"
"fuel","energy"
"gas","energy"
"gasoline","energy"
"heat","energy"
"hydrogen","energy"
"leachate","waste"
"manure","waste"
"metal","waste"
"methane","energy"
"methanol","energy"
"MSW","waste"
"oil","energy"
"propane","energy"
"slag","waste"
"sludge","waste"
"solar","energy"
"spent fuel","waste"
"uranium","energy"
"waste","waste"
"wastewater","water"
"water","water"
"wind","energy"
"wood","other"
